wrong,right
EXTREME WINDCHILL TEMPERATURES,WIND
FALLING SNOW/ICE,SNOW
FIRST SNOW,SNOW
FLASH FLOOD,FLOOD
 FLASH FLOOD,FLOOD
FLASH FLOOD/,FLOOD
FLASH FLOOD/FLOOD,FLOOD
FLASH FLOOD/ FLOOD,FLOOD
FLASH FLOOD FROM ICE JAMS,FLOOD
FLASH FLOOD - HEAVY RAIN,FLOOD
FLASH FLOOD/HEAVY RAIN,FLOOD
FLASH FLOODING,FLOOD
FLASH FLOODING/FLOOD,FLOOD
FLASH FLOODING/THUNDERSTORM WI,FLOOD
FLASH FLOOD/LANDSLIDE,FLOOD
FLASH FLOOD LANDSLIDES,FLOOD
FLASH FLOODS,FLOOD
FLASH FLOOD/ STREET,FLOOD
FLASH FLOOD WINDS,FLOOD
FLASH FLOOODING,FLOOD
Flood,FLOOD
FLOOD,FLOOD
FLOOD FLASH,FLOOD
FLOOD/FLASH,FLOOD
Flood/Flash Flood,FLOOD
FLOOD/FLASHFLOOD,FLOOD
FLOOD/FLASH FLOOD,FLOOD
FLOOD/FLASH/FLOOD,FLOOD
FLOOD/FLASH FLOODING,FLOOD
FLOOD FLOOD/FLASH,FLOOD
FLOOD & HEAVY RAIN,FLOOD
FLOODING,FLOOD
FLOODING/HEAVY RAIN,FLOOD
FLOOD/RAIN/WIND,FLOOD
FLOOD/RAIN/WINDS,FLOOD
FLOOD/RIVER FLOOD,FLOOD
FLOODS,FLOOD
Flood/Strong Wind,FLOOD
FLOOD WATCH/,FLOOD
FOG AND COLD TEMPERATURES,FOG
Freeze,FROST
Freezing drizzle,FREEZING DRIZZLE
Freezing Drizzle,FREEZING DRIZZLE
FREEZING DRIZZLE AND FREEZING,FREEZING DRIZZLE
Freezing Fog,FREEZING FOG
Freezing rain,FREEZING RAIN
Freezing Rain,FREEZING RAIN
FREEZING RAIN AND SLEET,FREEZING RAIN
FREEZING RAIN AND SNOW,FREEZING RAIN
FREEZING RAIN/SLEET,FREEZING RAIN
FREEZING RAIN SLEET AND,FREEZING RAIN
FREEZING RAIN SLEET AND LIGHT,FREEZING RAIN
FREEZING RAIN/SNOW,FREEZING RAIN
Freezing Spray,FREEZING RAIN
Frost,FROST
Frost/Freeze,FROST
FROST/FREEZE,FROST
FROST\FREEZE,FROST
FUNNEL,FUNNEL CLOUD
Funnel Cloud,FUNNEL CLOUD
FUNNEL CLOUD,FUNNEL CLOUD
FUNNEL CLOUD.,FUNNEL CLOUD
FUNNEL CLOUD/HAIL,FUNNEL CLOUD
FUNNEL CLOUDS,FUNNEL CLOUD
FUNNELS,FUNNEL CLOUD
Glaze,GLAZE
GLAZE,GLAZE
GLAZE ICE,GLAZE
GLAZE/ICE STORM,GLAZE
gradient wind,WIND
Gradient wind,WIND
GRADIENT WINDS,WIND
GROUND BLIZZARD,BLIZZARD
GUSTNADO AND,GUSTNADO
GUSTY LAKE WIND,WIND
GUSTY THUNDERSTORM WIND,WIND
GUSTY THUNDERSTORM WINDS,WIND
Gusty Wind,WIND
GUSTY WIND/HAIL,WIND
GUSTY WIND/HVY RAIN,WIND
Gusty wind/rain,WIND
Gusty winds,WIND
Gusty Winds,WIND
GUSTY WINDS,WIND
Hail(0.75),HAIL
HAIL 075,HAIL
HAIL 0.75,HAIL
HAIL 088,HAIL
HAIL 0.88,HAIL
HAIL 100,HAIL
HAIL 1.00,HAIL
HAIL 125,HAIL
HAIL 150,HAIL
HAIL 175,HAIL
HAIL 1.75,HAIL
HAIL 1.75),HAIL
HAIL 200,HAIL
HAIL 225,HAIL
HAIL 275,HAIL
HAIL 450,HAIL
HAIL 75,HAIL
HAIL 80,HAIL
HAIL 88,HAIL
HAIL ALOFT,HAIL
HAIL DAMAGE,HAIL
HAIL FLOODING,HAIL
HAIL/ICY ROADS,HAIL
HAILSTORM,HAIL
HAIL STORM,HAIL
HAILSTORMS,HAIL
HAIL/WIND,HAIL
HAIL/WINDS,HAIL
HARD FREEZE,FROST
Heatburst,HEAT
HEAT DROUGHT,HEAT
HEAT/DROUGHT,HEAT
Heat Wave,HEAT
HEAT WAVE,HEAT
HEAT WAVE DROUGHT,HEAT
HEAT WAVES,HEAT
HEAVY LAKE SNOW,SNOW
HEAVY MIX,EXCESSIVE PRECIPITATION
HEAVY PRECIPATATION,EXCESSIVE PRECIPITATION
Heavy Precipitation,EXCESSIVE PRECIPITATION
HEAVY PRECIPITATION,EXCESSIVE PRECIPITATION
Heavy rain,RAIN
Heavy Rain,RAIN
HEAVY RAIN,RAIN
HEAVY RAIN AND FLOOD,RAIN
Heavy Rain and Wind,RAIN
HEAVY RAIN EFFECTS,RAIN
HEAVY RAINFALL,RAIN
HEAVY RAIN/FLOODING,RAIN
Heavy Rain/High Surf,RAIN
HEAVY RAIN/LIGHTNING,RAIN
HEAVY RAIN/MUDSLIDES/FLOOD,RAIN
HEAVY RAINS,RAIN
HEAVY RAIN/SEVERE WEATHER,RAIN
HEAVY RAINS/FLOODING,RAIN
HEAVY RAIN/SMALL STREAM URBAN,RAIN
HEAVY RAIN/SNOW,RAIN
HEAVY RAIN/URBAN FLOOD,RAIN
HEAVY RAIN; URBAN FLOOD WINDS;,RAIN
HEAVY RAIN/WIND,RAIN
HEAVY SEAS,RAIN
HEAVY SHOWER,RAIN
HEAVY SHOWERS,RAIN
HEAVY SNOW,SNOW
HEAVY SNOW AND,SNOW
HEAVY SNOW ANDBLOWING SNOW,SNOW
HEAVY SNOW AND HIGH WINDS,SNOW
HEAVY SNOW AND ICE,SNOW
HEAVY SNOW AND ICE STORM,SNOW
HEAVY SNOW AND STRONG WINDS,SNOW
HEAVY SNOW/BLIZZARD,SNOW
HEAVY SNOW/BLIZZARD/AVALANCHE,SNOW
HEAVY SNOW/BLOWING SNOW,SNOW
HEAVY SNOW   FREEZING RAIN,SNOW
HEAVY SNOW/FREEZING RAIN,SNOW
HEAVY SNOW/HIGH,SNOW
HEAVY SNOW/HIGH WIND,SNOW
HEAVY SNOW/HIGH WINDS,SNOW
HEAVY SNOW/HIGH WINDS & FLOOD,SNOW
HEAVY SNOW/HIGH WINDS/FREEZING,SNOW
HEAVY SNOW & ICE,SNOW
HEAVY SNOW/ICE,SNOW
HEAVY SNOW/ICE STORM,SNOW
HEAVY SNOWPACK,SNOW
Heavy snow shower,SNOW
HEAVY SNOW/SLEET,SNOW
HEAVY SNOW SQUALLS,SNOW
HEAVY SNOW-SQUALLS,SNOW
HEAVY SNOW/SQUALLS,SNOW
HEAVY SNOW/WIND,SNOW
HEAVY SNOW/WINTER STORM,SNOW
Heavy Surf,HEAVY SURF
Heavy surf and wind,HEAVY SURF
HEAVY SURF COASTAL FLOODING,HEAVY SURF
HEAVY SURF/HIGH SURF,HEAVY SURF
HEAVY WET SNOW,SNOW
HIGH,NA
High Surf,HEAVY SURF
HIGH SURF,HEAVY SURF
HIGH SURF ADVISORIES,HEAVY SURF
   HIGH SURF ADVISORY,HEAVY SURF
HIGH SURF ADVISORY,HEAVY SURF
HIGH SWELLS,HEAVY SURF
HIGH  SWELLS,HEAVY SURF
HIGH TEMPERATURE RECORD,HEAT
HIGH TIDES,HEAVY SURF
HIGH WATER,HEAVY SURF
HIGH WAVES,HEAVY SURF
HIGHWAY FLOODING,FLOOD
High Wind,WIND
HIGH WIND,WIND
HIGH WIND 48,WIND
HIGH WIND 63,WIND
HIGH WIND 70,WIND
HIGH WIND AND HEAVY SNOW,WIND
HIGH WIND AND HIGH TIDES,WIND
HIGH WIND AND SEAS,WIND
HIGH WIND/BLIZZARD,WIND
HIGH WIND/ BLIZZARD,WIND
HIGH WIND/BLIZZARD/FREEZING RA,WIND
HIGH WIND DAMAGE,WIND
HIGH WIND (G40),WIND
HIGH WIND/HEAVY SNOW,WIND
HIGH WIND/LOW WIND CHILL,WIND
HIGH WINDS,WIND
HIGH  WINDS,WIND
HIGH WINDS/,WIND
HIGH WINDS 55,WIND
HIGH WINDS 57,WIND
HIGH WINDS 58,WIND
HIGH WINDS 63,WIND
HIGH WINDS 66,WIND
HIGH WINDS 67,WIND
HIGH WINDS 73,WIND
HIGH WINDS 76,WIND
HIGH WINDS 80,WIND
HIGH WINDS 82,WIND
HIGH WINDS AND WIND CHILL,WIND
HIGH WINDS/COASTAL FLOOD,WIND
HIGH WINDS/COLD,WIND
HIGH WINDS DUST STORM,WIND
HIGH WIND/SEAS,WIND
HIGH WINDS/FLOODING,WIND
HIGH WINDS/HEAVY RAIN,WIND
HIGH WINDS HEAVY RAINS,WIND
HIGH WINDS/SNOW,WIND
HIGH WIND/WIND CHILL,WIND
HIGH WIND/WIND CHILL/BLIZZARD,WIND
Hot and Dry,HEAT
HOT/DRY PATTERN,HEAT
HOT PATTERN,HEAT
HOT SPELL,HEAT
HOT WEATHER,HEAT
Hurricane Edouard,HURRICANE
HURRICANE EMILY,HURRICANE
HURRICANE ERIN,HURRICANE
HURRICANE FELIX,HURRICANE
HURRICANE-GENERATED SWELLS,HURRICANE
HURRICANE GORDON,HURRICANE
HURRICANE OPAL,HURRICANE
HURRICANE OPAL/HIGH WINDS,HURRICANE
HURRICANE/TYPHOON,HURRICANE
HVY RAIN,RAIN
HYPERTHERMIA/EXPOSURE,HYPOTHERMIA
Hypothermia/Exposure,HYPOTHERMIA
HYPOTHERMIA/EXPOSURE,HYPOTHERMIA
ICE AND SNOW,ICE
ICE FLOES,ICE
Ice Fog,ICE
ICE JAM,ICE
ICE JAM FLOODING,ICE
Ice jam flood (minor,ICE
ICE ON ROAD,ICE
ICE PELLETS,ICE
ICE ROADS,ICE
Ice/Snow,ICE
ICE/SNOW,ICE
ICE STORM AND SNOW,ICE STORM
Icestorm/Blizzard,ICE STORM
ICE STORM/FLASH FLOOD,ICE STORM
ICE/STRONG WINDS,ICE STORM
Icy Roads,ICE
ICY ROADS,ICE
LACK OF SNOW
Lake Effect Snow,LAKE EFFECT SNOW
LAKE-EFFECT SNOW,LAKE EFFECT SNOW
LAKE FLOOD,FLOOD
LAKESHORE FLOOD,FLOOD
LANDSLIDES,LANDSLIDE
LANDSLIDE/URBAN FLOOD,LANDSLIDE
Landslump,LANDSLIDE
LANDSLUMP,LANDSLIDE
LANDSPOUT,LANDSLIDE
LARGE WALL CLOUD,CLOUDS
LATE FREEZE,FROST
LATE SEASON HAIL,HAIL
LATE SEASON SNOW,SNOW
Late-season Snowfall,SNOW
Late Season Snowfall,SNOW
LATE SNOW,SNOW
LIGHT FREEZING RAIN,RAIN
LIGHTING,LIGHTNING
 LIGHTNING,LIGHTNING
LIGHTNING.,LIGHTNING
LIGHTNING AND HEAVY RAIN,THUNDERSTORM
LIGHTNING AND THUNDERSTORM WIN,THUNDERSTORM
LIGHTNING AND WINDS,LIGHTNING
LIGHTNING DAMAGE,LIGHTNING
LIGHTNING FIRE,LIGHTNING
LIGHTNING/HEAVY RAIN,THUNDERSTORM
LIGHTNING INJURY,LIGHTNING
LIGHTNING THUNDERSTORM WINDS,THUNDERSTORM
LIGHTNING THUNDERSTORM WINDSS,THUNDERSTORM
LIGHTNING  WAUSEON,LIGHTNING
Light snow,SNOW
Light Snow,SNOW
LIGHT SNOW,SNOW
LIGHT SNOW AND SLEET,SNOW
Light Snowfall,SNOW
Light Snow/Flurries,SNOW
LIGHT SNOW/FREEZING PRECIP,SNOW
LIGNTNING,LIGHTNING
LOCAL FLASH FLOOD,FLOOD
LOCAL FLOOD,FLOOD
LOCALLY HEAVY RAIN,RAIN
LOW TEMPERATURE,COLD
LOW TEMPERATURE RECORD,COLD
LOW WIND CHILL,WIND
MAJOR FLOOD,FLOOD
Marine Accident,MARINE ACCIDENT
MARINE MISHAP,MARINE ACCIDENT
MARINE STRONG WIND,MARINE HIGH WIND
MARINE THUNDERSTORM WIND,MARINE HIGH WIND
MARINE TSTM WIND,MARINE HIGH WIND
Microburst,MICROBURST
MICROBURST WINDS,MICROBURST
Mild and Dry Pattern,MILD PATTERN
MILD/DRY PATTERN,MILD PATTERN
MINOR FLOOD,FLOOD
Minor Flooding,FLOOD
MINOR FLOODING,FLOOD
MIXED PRECIP,MIXED PRECIPITATION
Mixed Precipitation,MIXED PRECIPITATION
MODERATE SNOW,SNOW
MODERATE SNOWFALL,SNOW
MONTHLY PRECIPITATION,EXCESSIVE PRECIPITATION
Monthly Rainfall,RAIN
MONTHLY RAINFALL,RAIN
Monthly Snowfall,SNOW
MONTHLY SNOWFALL,SNOW
Mountain Snows,SNOW
MUD/ROCK SLIDE,LANDSLIDE
Mudslide,LANDSLIDE
MUDSLIDE,LANDSLIDE
MUD SLIDE,LANDSLIDE
MUDSLIDE/LANDSLIDE,LANDSLIDE
Mudslides,LANDSLIDE
MUDSLIDES,LANDSLIDE
MUD SLIDES,LANDSLIDE
MUD SLIDES URBAN FLOODING,LANDSLIDE
NEAR RECORD SNOW,SNOW
NON SEVERE HAIL,HAIL
NON-SEVERE WIND DAMAGE,WIND
NON TSTM WIND,WIND
NON-TSTM WIND,WIND
Other,OTHER
PATCHY DENSE FOG,FOG
PATCHY ICE,ICE
Prolong Cold,COLD
PROLONG COLD/SNOW,COLD
PROLONGED RAIN,RAIN
PROLONG WARMTH,HEAT
RAIN AND WIND,RAIN
Rain Damage,RAIN
RAIN (HEAVY),RAIN
RAIN/SNOW,RAIN
RAINSTORM,RAIN
RAIN/WIND,RAIN
RAPIDLY RISING WATER,FLOOD
Record Cold,COLD
RECORD COLD,COLD
RECORD  COLD,COLD
RECORD COLD AND HIGH WIND,COLD
RECORD COLD/FROST,COLD
RECORD COOL,COLD
Record dry month,DRY CONDITIONS
RECORD DRYNESS,DRY CONDITIONS
RECORD/EXCESSIVE HEAT,HEAT
RECORD/EXCESSIVE RAINFALL,RAIN
Record Heat,HEAT
RECORD HEAT,HEAT
RECORD HEAT WAVE,HEAT
Record High,OTHER
RECORD HIGH,OTHER
RECORD HIGH TEMPERATURE,HEAT
RECORD HIGH TEMPERATURES,HEAT
RECORD LOW,OTHER
RECORD LOW RAINFALL,DRY CONDITIONS
Record May Snow,SNOW
RECORD PRECIPITATION,EXCESSIVE PRECIPITATION
RECORD RAINFALL,RAIN
RECORD SNOW,SNOW
RECORD SNOW/COLD,SNOW
RECORD SNOWFALL,SNOW
Record temperature,RECORD TEMPERATURE
RECORD TEMPERATURE,RECORD TEMPERATURE
Record Temperatures,RECORD TEMPERATURE
RECORD TEMPERATURES,RECORD TEMPERATURE
RECORD WARM,HEAT
RECORD WARM TEMPS.,HEAT
Record Warmth,HEAT
RECORD WARMTH,HEAT
Record Winter Snow,SNOW
RIP CURRENTS,RIP CURRENT
RIP CURRENTS HEAVY SURF,RIP CURRENT
RIP CURRENTS/HEAVY SURF,RIP CURRENT
RIVER AND STREAM FLOOD,FLOOD
RIVER FLOOD,FLOOD
River Flooding,FLOOD
RIVER FLOODING,FLOOD
ROCK SLIDE,LANDSLIDE
ROUGH SURF,HEAVY SURF
RURAL FLOOD,FLOOD
Saharan Dust,SAHARAN DUST
Seasonal Snowfall,SNOW
SEVERE COLD,COLD
SEVERE THUNDERSTORM,THUNDERSTORM
SEVERE THUNDERSTORMS,THUNDERSTORM
SEVERE THUNDERSTORM WINDS,THUNDERSTORM
SEVERE TURBULENCE
SLEET & FREEZING RAIN,SLEET
SLEET/FREEZING RAIN,SLEET
SLEET/ICE STORM,SLEET
SLEET/RAIN/SNOW,SLEET
SLEET/SNOW,SLEET
SLEET STORM,SLEET
small hail,HAIL
Small Hail,HAIL
SMALL HAIL,HAIL
SMALL STREAM,FLOOD
SMALL STREAM AND,FLOOD
SMALL STREAM AND URBAN FLOOD,FLOOD
SMALL STREAM AND URBAN FLOODIN,FLOOD
SMALL STREAM FLOOD,FLOOD
SMALL STREAM FLOODING,FLOOD
SMALL STREAM URBAN FLOOD,FLOOD
SMALL STREAM/URBAN FLOOD,FLOOD
Sml Stream Fld,FLOOD
Snow,SNOW
Snow Accumulation,SNOW
SNOW ACCUMULATION,SNOW
SNOW ADVISORY,SNOW
SNOW AND COLD,SNOW
SNOW AND HEAVY SNOW,SNOW
Snow and Ice,SNOW
SNOW AND ICE,SNOW
SNOW AND ICE STORM,SNOW
Snow and sleet,SNOW
SNOW AND SLEET,SNOW
SNOW AND WIND,SNOW
SNOW/ BITTER COLD,SNOW
SNOW/BLOWING SNOW,SNOW
SNOW/COLD,SNOW
SNOW\COLD,SNOW
SNOW DROUGHT,SNOW
SNOWFALL RECORD,SNOW
SNOW FREEZING RAIN,SNOW
SNOW/FREEZING RAIN,SNOW
SNOW/HEAVY SNOW,SNOW
SNOW/HIGH WINDS,SNOW
SNOW- HIGH WIND- WIND CHILL,SNOW
SNOW/ICE,SNOW
SNOW/ ICE,SNOW
SNOW/ICE STORM,SNOW
SNOWMELT FLOODING,FLOOD
SNOW/RAIN,SNOW
SNOW/RAIN/SLEET,SNOW
SNOW SHOWERS,SNOW
SNOW SLEET,SNOW
SNOW/SLEET,SNOW
SNOW/SLEET/FREEZING RAIN,SNOW
SNOW/SLEET/RAIN,SNOW
SNOW SQUALL,SNOW
Snow squalls,SNOW
Snow Squalls,SNOW
SNOW SQUALLS,SNOW
SNOWSTORM,SNOW
STORM FORCE WINDS,WIND
STORM SURGE/TIDE,STORM SURGE
STREAM FLOODING,FLOOD
STREET FLOOD,FLOOD
STREET FLOODING,FLOOD
Strong Wind,WIND
STRONG WIND,WIND
STRONG WIND GUST,WIND
Strong winds,WIND
Strong Winds,WIND
STRONG WINDS,WIND
Temperature record,RECORD TEMPERATURE
THUDERSTORM WINDS,THUNDERSTORM
THUNDEERSTORM WINDS,THUNDERSTORM
THUNDERESTORM WINDS,THUNDERSTORM
THUNDERSNOW,SNOW
Thundersnow shower,SNOW
THUNDERSTORM DAMAGE,THUNDERSTORM
THUNDERSTORM DAMAGE TO,THUNDERSTORM
THUNDERSTORM HAIL,THUNDERSTORM
THUNDERSTORMS,THUNDERSTORM
THUNDERSTORMS WIND,THUNDERSTORM
THUNDERSTORMS WINDS,THUNDERSTORM
THUNDERSTORMW,THUNDERSTORM
THUNDERSTORMW 50,THUNDERSTORM
Thunderstorm Wind,THUNDERSTORM WIND
THUNDERSTORM WIND,THUNDERSTORM WIND
THUNDERSTORM WIND.,THUNDERSTORM WIND
THUNDERSTORM WIND 50,THUNDERSTORM WIND
THUNDERSTORM WIND 52,THUNDERSTORM WIND
THUNDERSTORM WIND 56,THUNDERSTORM WIND
THUNDERSTORM WIND 59,THUNDERSTORM WIND
THUNDERSTORM WIND 59 MPH,THUNDERSTORM WIND
THUNDERSTORM WIND 59 MPH.,THUNDERSTORM WIND
THUNDERSTORM WIND 60 MPH,THUNDERSTORM WIND
THUNDERSTORM WIND 65MPH,THUNDERSTORM WIND
THUNDERSTORM WIND 65 MPH,THUNDERSTORM WIND
THUNDERSTORM WIND 69,THUNDERSTORM WIND
THUNDERSTORM WIND 98 MPH,THUNDERSTORM WIND
THUNDERSTORM WIND/AWNING,THUNDERSTORM WIND
THUNDERSTORM WIND (G40),THUNDERSTORM WIND
THUNDERSTORM WIND G50,THUNDERSTORM WIND
THUNDERSTORM WIND G51,THUNDERSTORM WIND
THUNDERSTORM WIND G52,THUNDERSTORM WIND
THUNDERSTORM WIND G55,THUNDERSTORM WIND
THUNDERSTORM WIND G60,THUNDERSTORM WIND
THUNDERSTORM WIND G61,THUNDERSTORM WIND
THUNDERSTORM WIND/HAIL,THUNDERSTORM WIND
THUNDERSTORM WIND/LIGHTNING,THUNDERSTORM WIND
THUNDERSTORMWINDS,THUNDERSTORM WIND
THUNDERSTORM WINDS,THUNDERSTORM WIND
THUNDERSTORM  WINDS,THUNDERSTORM WIND
THUNDERSTORM W INDS,THUNDERSTORM WIND
THUNDERSTORM WINDS.,THUNDERSTORM WIND
THUNDERSTORM WINDS 13,THUNDERSTORM WIND
THUNDERSTORM WINDS 2,THUNDERSTORM WIND
THUNDERSTORM WINDS 50,THUNDERSTORM WIND
THUNDERSTORM WINDS 52,THUNDERSTORM WIND
THUNDERSTORM WINDS53,THUNDERSTORM WIND
THUNDERSTORM WINDS 53,THUNDERSTORM WIND
THUNDERSTORM WINDS 60,THUNDERSTORM WIND
THUNDERSTORM WINDS 61,THUNDERSTORM WIND
THUNDERSTORM WINDS 62,THUNDERSTORM WIND
THUNDERSTORM WINDS 63 MPH,THUNDERSTORM WIND
THUNDERSTORM WINDS AND,THUNDERSTORM WIND
THUNDERSTORM WINDS/FLASH FLOOD,THUNDERSTORM WIND
THUNDERSTORM WINDS/ FLOOD,THUNDERSTORM WIND
THUNDERSTORM WINDS/FLOODING,THUNDERSTORM WIND
THUNDERSTORM WINDS FUNNEL CLOU,THUNDERSTORM WIND
THUNDERSTORM WINDS/FUNNEL CLOU,THUNDERSTORM WIND
THUNDERSTORM WINDS G,THUNDERSTORM WIND
THUNDERSTORM WINDS G60,THUNDERSTORM WIND
THUNDERSTORM WINDSHAIL,THUNDERSTORM WIND
THUNDERSTORM WINDS HAIL,THUNDERSTORM WIND
THUNDERSTORM WINDS/HAIL,THUNDERSTORM WIND
THUNDERSTORM WINDS/ HAIL,THUNDERSTORM WIND
THUNDERSTORM WINDS HEAVY RAIN,THUNDERSTORM WIND
THUNDERSTORM WINDS/HEAVY RAIN,THUNDERSTORM WIND
THUNDERSTORM WINDS      LE CEN,THUNDERSTORM WIND
THUNDERSTORM WINDS LIGHTNING,THUNDERSTORM WIND
THUNDERSTORM WINDSS,THUNDERSTORM WIND
THUNDERSTORM WINDS SMALL STREA,THUNDERSTORM WIND
THUNDERSTORM WINDS URBAN FLOOD,THUNDERSTORM WIND
THUNDERSTORM WIND/ TREE,THUNDERSTORM WIND
THUNDERSTORM WIND TREES,THUNDERSTORM WIND
THUNDERSTORM WIND/ TREES,THUNDERSTORM WIND
THUNDERSTORM WINS,THUNDERSTORM WIND
THUNDERSTORMW WINDS,THUNDERSTORM WIND
THUNDERSTROM WINDS,THUNDERSTORM WIND
THUNDERTORM WINDS,THUNDERSTORM WIND
THUNDERTSORM WIND,THUNDERSTORM WIND
THUNDESTORM WINDS,THUNDERSTORM WIND
THUNERSTORM WINDS,THUNDERSTORM WIND
TIDAL FLOOD,FLOOD
Tidal Flooding,FLOOD
TIDAL FLOODING,FLOOD
TORNADO DEBRIS,TORNADO
TORNADOES,TORNADO
TORNADO F0,TORNADO
TORNADO F1,TORNADO
TORNADO F2,TORNADO
TORNADO F3,TORNADO
TORNADOS,TORNADO
TORNADO/WATERSPOUT,TORNADO
TORNDAO,TORNADO
TORRENTIAL RAIN,RAIN
Torrential Rainfall,RAIN
TROPICAL STORM ALBERTO,TROPICAL STORM
TROPICAL STORM DEAN,TROPICAL STORM
TROPICAL STORM GORDON,TROPICAL STORM
TROPICAL STORM JERRY,TROPICAL STORM
TSTM,THUNDERSTORM
TSTM HEAVY RAIN,THUNDERSTORM
TSTMW,THUNDERSTORM WIND
Tstm Wind,THUNDERSTORM WIND
 TSTM WIND,THUNDERSTORM WIND
TSTM WIND,THUNDERSTORM WIND
TSTM WIND 40,THUNDERSTORM WIND
TSTM WIND (41),THUNDERSTORM WIND
TSTM WIND 45,THUNDERSTORM WIND
TSTM WIND 50,THUNDERSTORM WIND
TSTM WIND 51,THUNDERSTORM WIND
TSTM WIND 52,THUNDERSTORM WIND
TSTM WIND 55,THUNDERSTORM WIND
TSTM WIND 65),THUNDERSTORM WIND
TSTM WIND AND LIGHTNING,THUNDERSTORM WIND
TSTM WIND DAMAGE,THUNDERSTORM WIND
TSTM WIND (G35),THUNDERSTORM WIND
TSTM WIND (G40),THUNDERSTORM WIND
 TSTM WIND (G45),THUNDERSTORM WIND
TSTM WIND G45,THUNDERSTORM WIND
TSTM WIND  (G45),THUNDERSTORM WIND
TSTM WIND (G45),THUNDERSTORM WIND
TSTM WIND G58,THUNDERSTORM WIND
